timestamp,elapsed_seconds,speed_kmh,acceleration_ms2,throttle_percent,brake_percent,steering_angle_deg,steering_grip,fatigue_level,co2_rate_g_per_km,mode,harsh_acceleration,harsh_braking,speeding,idling,eco_score
2025-11-16 15:43:42.446,1.0,0.0,0.0,0.0,30.5,-5.6,0.847,0.103,83.0,mixed,0,0,0,0,100.0
2025-11-16 15:43:43.446,2.0,2.82,2.818,56.2,2.2,9.32,0.657,0.107,120.98,mixed,1,0,0,0,80.0
2025-11-16 15:43:44.446,3.0,8.19,5.0,67.8,0.4,8.22,0.764,0.108,126.61,mixed,1,0,0,0,80.0
2025-11-16 15:43:45.446,4.0,12.14,3.943,83.5,8.3,1.8,0.725,0.113,132.91,mixed,1,0,0,0,72.0
2025-11-16 15:43:46.446,5.0,17.26,5.0,61.8,0.0,9.41,0.723,0.114,128.45,mixed,1,0,0,0,80.0
2025-11-16 15:43:47.446,6.0,20.62,3.368,45.1,0.0,-2.32,0.716,0.115,124.79,mixed,1,0,0,0,80.0
2025-11-16 15:43:48.446,7.0,22.72,2.092,59.1,7.6,8.05,0.824,0.119,109.8,mixed,0,0,0,0,95.0
2025-11-16 15:43:49.446,8.0,24.99,2.27,100.0,3.2,5.73,0.808,0.123,122.99,mixed,0,0,0,0,87.0
2025-11-16 15:43:50.446,9.0,27.44,2.454,43.7,9.5,3.75,0.682,0.126,107.1,mixed,0,0,0,0,95.0
2025-11-16 15:43:51.446,10.0,26.1,-1.345,0.0,71.8,-11.64,0.618,0.13,93.44,mixed,0,0,0,0,95.0
2025-11-16 15:43:52.446,11.0,28.79,2.698,56.8,6.3,-14.13,0.869,0.131,131.54,mixed,1,0,0,0,80.0
2025-11-16 15:43:53.446,12.0,27.58,-1.21,0.0,60.1,-3.43,0.635,0.132,94.03,mixed,0,0,0,0,95.0
2025-11-16 15:43:54.446,13.0,29.7,2.121,48.4,8.0,4.38,0.632,0.136,109.4,mixed,0,0,0,0,95.0
2025-11-16 15:43:55.446,14.0,30.89,1.188,73.3,7.5,-11.32,0.798,0.14,117.36,mixed,0,0,0,0,95.0
2025-11-16 15:43:56.446,15.0,31.27,0.373,24.9,1.8,-8.11,0.806,0.142,102.98,mixed,0,0,0,0,95.0
2025-11-16 15:43:57.446,16.0,31.92,0.653,35.0,17.4,-5.6,0.833,0.144,106.27,mixed,0,0,0,0,95.0
2025-11-16 15:43:58.446,17.0,33.57,1.648,56.2,8.0,-1.62,0.572,0.149,113.29,mixed,0,0,0,0,95.0
2025-11-16 15:43:59.446,18.0,33.91,0.342,82.8,4.8,6.64,0.773,0.151,121.41,mixed,0,0,0,0,87.0
2025-11-16 15:44:00.446,19.0,36.14,2.235,68.7,1.2,4.49,0.801,0.156,118.07,mixed,0,0,0,0,95.0
2025-11-16 15:44:01.446,20.0,37.92,1.774,45.7,1.5,7.41,0.693,0.159,111.89,mixed,0,0,0,0,95.0
2025-11-16 15:44:02.446,21.0,37.82,-0.094,25.6,5.9,-7.23,0.843,0.16,105.8,mixed,0,0,0,0,95.0
2025-11-16 15:44:03.446,22.0,39.79,1.966,48.8,4.9,-10.69,0.85,0.162,113.57,mixed,0,0,0,0,95.0
2025-11-16 15:44:04.446,23.0,40.38,0.589,44.6,1.4,-10.23,0.71,0.163,112.52,mixed,0,0,0,0,95.0
2025-11-16 15:44:05.446,24.0,42.66,2.28,63.6,4.4,-21.21,0.709,0.168,119.15,mixed,0,0,0,0,95.0
2025-11-16 15:44:06.446,25.0,43.74,1.079,48.4,6.0,-21.67,0.669,0.171,115.02,mixed,0,0,0,0,95.0
